"Step","transformer-2-(bin) - sig/significance","transformer-2-(bin) - sig/significance__MIN","transformer-2-(bin) - sig/significance__MAX","transformer-2 - sig/significance","transformer-2 - sig/significance__MIN","transformer-2 - sig/significance__MAX"
"112","2.0322108268737793","2.0322108268737793","2.0322108268737793","2.1866109371185303","2.1866109371185303","2.1866109371185303"
"113","2.0322773456573486","2.0322773456573486","2.0322773456573486","2.1879799365997314","2.1879799365997314","2.1879799365997314"
"114","2.0382211208343506","2.0382211208343506","2.0382211208343506","2.1879613399505615","2.1879613399505615","2.1879613399505615"
"115","2.0403189659118652","2.0403189659118652","2.0403189659118652","2.1824758052825928","2.1824758052825928","2.1824758052825928"
"116","2.036501407623291","2.036501407623291","2.036501407623291","2.1893887519836426","2.1893887519836426","2.1893887519836426"
"117","2.039311647415161","2.039311647415161","2.039311647415161","2.188699722290039","2.188699722290039","2.188699722290039"
"118","2.0356554985046387","2.0356554985046387","2.0356554985046387","2.1856470108032227","2.1856470108032227","2.1856470108032227"
"119","2.0378522872924805","2.0378522872924805","2.0378522872924805","2.1820974349975586","2.1820974349975586","2.1820974349975586"
"120","2.0421347618103027","2.0421347618103027","2.0421347618103027","2.1890673637390137","2.1890673637390137","2.1890673637390137"
"121","2.0414185523986816","2.0414185523986816","2.0414185523986816","2.1894705295562744","2.1894705295562744","2.1894705295562744"
"122","2.0417516231536865","2.0417516231536865","2.0417516231536865","2.1821606159210205","2.1821606159210205","2.1821606159210205"
"123","2.040980815887451","2.040980815887451","2.040980815887451","2.1815121173858643","2.1815121173858643","2.1815121173858643"
"124","2.0431482791900635","2.0431482791900635","2.0431482791900635","2.1850037574768066","2.1850037574768066","2.1850037574768066"
"125","2.0456020832061768","2.0456020832061768","2.0456020832061768","2.193267583847046","2.193267583847046","2.193267583847046"
"126","2.0455379486083984","2.0455379486083984","2.0455379486083984","2.185405731201172","2.185405731201172","2.185405731201172"
"127","2.0497095584869385","2.0497095584869385","2.0497095584869385","2.1876790523529053","2.1876790523529053","2.1876790523529053"
"128","2.0505120754241943","2.0505120754241943","2.0505120754241943","2.1923747062683105","2.1923747062683105","2.1923747062683105"
"129","2.052671432495117","2.052671432495117","2.052671432495117","2.1832268238067627","2.1832268238067627","2.1832268238067627"
"130","2.054171562194824","2.054171562194824","2.054171562194824","2.1857190132141113","2.1857190132141113","2.1857190132141113"
"131","2.0533809661865234","2.0533809661865234","2.0533809661865234","2.1835031509399414","2.1835031509399414","2.1835031509399414"
"132","2.0604443550109863","2.0604443550109863","2.0604443550109863","2.18638277053833","2.18638277053833","2.18638277053833"
"133","2.055260181427002","2.055260181427002","2.055260181427002","2.1838865280151367","2.1838865280151367","2.1838865280151367"
"134","2.058321714401245","2.058321714401245","2.058321714401245","2.193713426589966","2.193713426589966","2.193713426589966"
"135","2.059124708175659","2.059124708175659","2.059124708175659","2.1877386569976807","2.1877386569976807","2.1877386569976807"
"136","2.0696842670440674","2.0696842670440674","2.0696842670440674","2.188816547393799","2.188816547393799","2.188816547393799"
"137","2.0724048614501953","2.0724048614501953","2.0724048614501953","2.1848068237304688","2.1848068237304688","2.1848068237304688"
"138","2.0779521465301514","2.0779521465301514","2.0779521465301514","2.199672222137451","2.199672222137451","2.199672222137451"
