"Step","resnet-8 - sig/significance","resnet-8 - sig/significance__MIN","resnet-8 - sig/significance__MAX","resnet-8-embed-nan-w - sig/significance","resnet-8-embed-nan-w - sig/significance__MIN","resnet-8-embed-nan-w - sig/significance__MAX","resnet-8-embed - sig/significance","resnet-8-embed - sig/significance__MIN","resnet-8-embed - sig/significance__MAX","resnet-8-nan-w - sig/significance","resnet-8-nan-w - sig/significance__MIN","resnet-8-nan-w - sig/significance__MAX"
"109","","","","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.10819149017334","2.10819149017334","2.10819149017334","2.1139297485351562","2.1139297485351562","2.1139297485351562"
"110","","","","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.159506320953369","2.159506320953369","2.159506320953369","2.0925025939941406","2.0925025939941406","2.0925025939941406"
"111","","","","2.08793568611145","2.08793568611145","2.08793568611145","2.1219124794006348","2.1219124794006348","2.1219124794006348","2.1519508361816406","2.1519508361816406","2.1519508361816406"
"112","","","","2.0992143154144287","2.0992143154144287","2.0992143154144287","2.1406047344207764","2.1406047344207764","2.1406047344207764","2.1138627529144287","2.1138627529144287","2.1138627529144287"
"113","","","","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.132169723510742","2.132169723510742","2.132169723510742","2.1214590072631836","2.1214590072631836","2.1214590072631836"
"114","","","","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.1392030715942383","2.1392030715942383","2.1392030715942383","2.087888479232788","2.087888479232788","2.087888479232788"
"115","","","","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.0927255153656006","2.0927255153656006","2.0927255153656006","2.094818592071533","2.094818592071533","2.094818592071533"
"116","","","","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.13472318649292","2.13472318649292","2.13472318649292","2.0833053588867188","2.0833053588867188","2.0833053588867188"
"117","","","","2.09189772605896","2.09189772605896","2.09189772605896","2.112273693084717","2.112273693084717","2.112273693084717","2.0833053588867188","2.0833053588867188","2.0833053588867188"
"118","","","","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.1044819355010986","2.1044819355010986","2.1044819355010986","2.0833053588867188","2.0833053588867188","2.0833053588867188"
"119","","","","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.1029157638549805","2.1029157638549805","2.1029157638549805"
"120","","","","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.099579334259033","2.099579334259033","2.099579334259033","2.141329050064087","2.141329050064087","2.141329050064087"
"121","","","","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.1180264949798584","2.1180264949798584","2.1180264949798584","2.0833053588867188","2.0833053588867188","2.0833053588867188"
"122","","","","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.094680070877075","2.094680070877075","2.094680070877075","2.0833053588867188","2.0833053588867188","2.0833053588867188"
"123","","","","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.1109983921051025","2.1109983921051025","2.1109983921051025","2.109952926635742","2.109952926635742","2.109952926635742"
"124","","","","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.088754177093506","2.088754177093506","2.088754177093506"
"125","","","","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.147130012512207","2.147130012512207","2.147130012512207","2.089700222015381","2.089700222015381","2.089700222015381"
